Experiment,I_ss [mA],ΔI [mA],τ [s],T_5pct [s],T_2pct [s],T_fall 90→10% [s]
3.3 Ω,572.9,82.1,8.18,24.5,32.0,16.0
6.8 Ω,556.1,52.9,10.27,30.8,40.2,19.0
