cell,RMSE_mV,xi1,xi2,xi3,xi4,B,c
Cell0,3.7547,1.1101113178320636,0.0007982965514002488,0.0013715192656626053,-2.490179069891685e-12,0.5131783722407893,0.009999999166958864
Cell1,,,,,,,
Cell2,,,,,,,
Cell3,11.4254,-1.1576923640772037,0.003374790665347443,0.0022030226068969917,-0.005446987667087073,0.8421723607164566,1.703237609296769e-05
Cell4,3.7602,-7.9309883396899,0.028731569498004088,0.0013615671843295008,-0.0014581485877929478,0.4333590322429832,0.009968002110318012
Cell5,3.6222,1.304741068699764,0.019847486768668418,0.0048702053879893245,-0.000861446863267755,1.3466860982469329,0.009976062254873257
Cell6,10.0224,-6.66305665150931,0.006245069821922394,0.0005711357594851517,-0.004488776701942137,0.5541168562086426,1.199614462465255e-06
Cell7,16.2998,-5.252982420765553,0.02091450798058113,0.002895845529610291,-0.008136967066262,0.9335177466688175,1.6939791078177176e-05
Cell8,10.5944,-7.051095942425485,0.0031715391726932114,0.003311860204684337,-2.6156455473769213e-12,1.7833746425468957,0.009999990107904203
Cell9,2.3945,-4.182122320872388,0.01827864820578877,0.0016232111792306397,-9.765886016532616e-14,0.545680397442025,0.009999999609527695
