time_s,Cell0_mV,Cell1_mV,Cell2_mV,Cell3_mV,Cell4_mV,Cell5_mV,Cell6_mV,Cell7_mV,Cell8_mV,Cell9_mV,V_stack_V,Current_mA
0.0,59.0,0.0,0.0,383.0,305.0,438.0,377.0,644.0,168.0,405.0,2.779,609.0
1.0,49.0,0.0,0.0,360.0,290.0,417.0,354.0,586.0,159.0,367.0,2.582,604.0
2.0,43.0,0.0,0.0,344.0,283.0,404.0,341.0,546.0,154.0,341.0,2.456,597.0
3.0,37.0,0.0,0.0,334.0,275.0,389.0,328.0,517.0,152.0,322.0,2.354,594.0
4.0,35.0,0.0,0.0,324.0,271.0,381.0,316.0,491.0,145.0,308.0,2.271,587.0
5.0,30.0,0.0,0.0,317.0,268.0,373.0,306.0,472.0,144.0,295.0,2.205,585.0
6.0,24.0,0.0,0.0,311.0,265.0,363.0,300.0,454.0,139.0,288.0,2.144,584.0
7.0,23.0,0.0,0.0,302.0,262.0,352.0,293.0,438.0,139.0,281.0,2.09,581.0
8.0,22.0,0.0,0.0,299.0,259.0,346.0,288.0,424.0,137.0,273.0,2.048,579.0
9.0,19.0,0.0,0.0,296.0,257.0,341.0,282.0,410.0,135.0,266.0,2.006,576.0
10.0,21.0,0.0,0.0,288.0,255.0,343.0,278.0,398.0,132.0,258.0,1.973,573.0
11.0,18.0,0.0,0.0,284.0,252.0,336.0,275.0,390.0,130.0,251.0,1.936,573.0
12.0,18.0,0.0,0.0,284.0,250.0,330.0,269.0,379.0,132.0,250.0,1.912,573.0
13.0,19.0,0.0,0.0,279.0,249.0,329.0,267.0,365.0,129.0,244.0,1.881,569.0
14.0,17.0,0.0,0.0,274.0,248.0,324.0,263.0,362.0,130.0,239.0,1.857,568.0
15.0,14.0,0.0,0.0,274.0,249.0,322.0,256.0,352.0,130.0,237.0,1.834,569.0
16.0,17.0,0.0,0.0,270.0,246.0,314.0,257.0,347.0,127.0,233.0,1.811,568.0
17.0,12.0,0.0,0.0,270.0,247.0,313.0,252.0,337.0,129.0,232.0,1.792,565.0
18.0,17.0,0.0,0.0,266.0,245.0,315.0,252.0,332.0,126.0,228.0,1.781,570.0
19.0,14.0,0.0,0.0,266.0,241.0,308.0,247.0,324.0,130.0,227.0,1.757,565.0
20.0,11.0,0.0,0.0,261.0,243.0,307.0,247.0,321.0,131.0,223.0,1.744,566.0
21.0,18.0,0.0,0.0,262.0,243.0,304.0,243.0,313.0,130.0,224.0,1.737,561.0
22.0,15.0,0.0,0.0,260.0,241.0,303.0,242.0,309.0,131.0,220.0,1.721,566.0
23.0,16.0,0.0,0.0,257.0,243.0,303.0,242.0,302.0,129.0,218.0,1.71,561.0
24.0,13.0,0.0,0.0,258.0,242.0,299.0,238.0,300.0,132.0,218.0,1.7,564.0
25.0,14.0,0.0,0.0,254.0,242.0,299.0,238.0,296.0,130.0,214.0,1.687,561.0
26.0,12.0,0.0,0.0,254.0,243.0,296.0,233.0,290.0,131.0,216.0,1.675,562.0
27.0,12.0,0.0,0.0,254.0,240.0,294.0,233.0,289.0,133.0,216.0,1.671,564.0
28.0,13.0,0.0,0.0,248.0,240.0,294.0,233.0,283.0,134.0,212.0,1.657,563.0
29.0,15.0,0.0,0.0,249.0,241.0,293.0,232.0,278.0,131.0,212.0,1.651,560.0
30.0,14.0,0.0,0.0,247.0,241.0,293.0,230.0,273.0,135.0,212.0,1.645,560.0
31.0,14.0,0.0,0.0,248.0,240.0,286.0,229.0,270.0,135.0,212.0,1.634,564.0
32.0,14.0,0.0,0.0,244.0,240.0,289.0,228.0,272.0,136.0,208.0,1.631,564.0
33.0,14.0,0.0,0.0,246.0,240.0,289.0,228.0,267.0,136.0,210.0,1.63,559.0
34.0,12.0,0.0,0.0,245.0,241.0,285.0,223.0,261.0,139.0,210.0,1.616,561.0
35.0,12.0,0.0,0.0,244.0,241.0,284.0,223.0,259.0,138.0,210.0,1.611,561.0
36.0,13.0,0.0,0.0,243.0,241.0,286.0,220.0,259.0,138.0,208.0,1.608,565.0
37.0,12.0,0.0,0.0,243.0,239.0,286.0,224.0,255.0,138.0,207.0,1.604,558.0
38.0,15.0,0.0,0.0,243.0,238.0,286.0,221.0,251.0,140.0,207.0,1.601,559.0
39.0,11.0,0.0,0.0,242.0,239.0,283.0,220.0,248.0,142.0,209.0,1.594,560.0
40.0,14.0,0.0,0.0,238.0,237.0,282.0,219.0,249.0,145.0,204.0,1.588,561.0
41.0,14.0,0.0,0.0,236.0,237.0,282.0,221.0,246.0,143.0,204.0,1.583,561.0
42.0,14.0,0.0,0.0,237.0,238.0,283.0,217.0,241.0,142.0,204.0,1.576,560.0
43.0,14.0,0.0,0.0,236.0,238.0,281.0,219.0,244.0,144.0,205.0,1.581,558.0
44.0,14.0,0.0,0.0,236.0,238.0,284.0,215.0,238.0,142.0,205.0,1.572,560.0
45.0,13.0,0.0,0.0,236.0,238.0,283.0,218.0,240.0,144.0,204.0,1.576,560.0
46.0,16.0,0.0,0.0,236.0,239.0,283.0,217.0,234.0,146.0,206.0,1.577,562.0
47.0,11.0,0.0,0.0,236.0,239.0,280.0,213.0,231.0,146.0,205.0,1.561,560.0
48.0,11.0,0.0,0.0,236.0,239.0,277.0,212.0,231.0,147.0,205.0,1.558,560.0
49.0,13.0,0.0,0.0,235.0,239.0,280.0,213.0,229.0,148.0,206.0,1.563,560.0
50.0,12.0,0.0,0.0,235.0,234.0,279.0,213.0,231.0,149.0,205.0,1.558,561.0
51.0,12.0,0.0,0.0,234.0,238.0,277.0,212.0,229.0,149.0,205.0,1.556,558.0
52.0,12.0,0.0,0.0,232.0,238.0,277.0,211.0,226.0,150.0,205.0,1.551,560.0
53.0,9.0,0.0,0.0,232.0,238.0,277.0,210.0,223.0,151.0,205.0,1.545,559.0
54.0,12.0,0.0,0.0,231.0,238.0,280.0,205.0,220.0,150.0,204.0,1.54,557.0
55.0,13.0,0.0,0.0,228.0,237.0,279.0,212.0,220.0,150.0,204.0,1.543,559.0
56.0,14.0,0.0,0.0,230.0,237.0,279.0,211.0,217.0,150.0,204.0,1.542,559.0
57.0,14.0,0.0,0.0,228.0,236.0,278.0,210.0,217.0,151.0,203.0,1.537,558.0
58.0,15.0,0.0,0.0,228.0,236.0,278.0,210.0,217.0,151.0,202.0,1.537,559.0
59.0,13.0,0.0,0.0,227.0,236.0,277.0,209.0,216.0,151.0,203.0,1.532,558.0
60.0,14.0,0.0,0.0,227.0,236.0,278.0,206.0,210.0,153.0,202.0,1.526,557.0
61.0,14.0,0.0,0.0,226.0,236.0,274.0,208.0,213.0,153.0,203.0,1.527,562.0
62.0,14.0,0.0,0.0,226.0,236.0,276.0,208.0,214.0,155.0,203.0,1.532,555.0
63.0,14.0,0.0,0.0,225.0,235.0,276.0,207.0,212.0,153.0,205.0,1.527,556.0
64.0,16.0,0.0,0.0,225.0,235.0,275.0,205.0,212.0,160.0,201.0,1.529,561.0
65.0,12.0,0.0,0.0,227.0,236.0,275.0,204.0,209.0,158.0,205.0,1.526,558.0
66.0,12.0,0.0,0.0,225.0,237.0,278.0,201.0,207.0,157.0,204.0,1.521,559.0
67.0,14.0,0.0,0.0,223.0,235.0,275.0,205.0,208.0,155.0,203.0,1.518,561.0
68.0,12.0,0.0,0.0,226.0,232.0,275.0,204.0,206.0,159.0,205.0,1.519,560.0
69.0,12.0,0.0,0.0,224.0,236.0,276.0,201.0,203.0,158.0,204.0,1.514,559.0
70.0,14.0,0.0,0.0,221.0,233.0,276.0,203.0,205.0,156.0,201.0,1.509,561.0
71.0,12.0,0.0,0.0,224.0,234.0,274.0,198.0,203.0,160.0,205.0,1.51,560.0
72.0,15.0,0.0,0.0,222.0,234.0,276.0,203.0,198.0,159.0,203.0,1.51,558.0
73.0,13.0,0.0,0.0,221.0,233.0,274.0,202.0,200.0,162.0,199.0,1.504,561.0
